lemma	lat	eng
invitus	dīs invītīs	with the gods unwilling
inultus	legiōnēs neque mē inultum neque vōs impunitos patientur	the legions will not let me go unavenged nor you go unpunished
inultus	hostēs inultos abīre sinunt	they allow the enemies to go away unpunished
iocus	iocone an serio haec dīcat, nesciō	I don’t know if he’s joking or serious
ipse	sē ipsī omnēs nātūrā diligunt	all men love themselves by nature
ipse	ea ipsa causa bellī fuit	this very thing was the cause of the war
ira	vix īram coercēbat	he was barely controlling his anger
irritus	vāna atque irrita legatio fuit	the embassy was fruitless and ineffectual
is	ut sciās eum ā mē amārī, ob eam rem tibi haec scribo	so that you may know that he is loved by me, for this reason I write these things to you
ita	quae cum ita sint ...	because these things are thus
ita	nōn ita tē amō ut sānī solent hominēs	I don’t love you in a way that sane men are accustomed
item	fēcistī item ut praedones solent	you have acted in the same manner as pirates are accustomed
iter	quam maximis potest itineribus in galliam contendit	he directs his course into Gaul with as long marches as he is able
iter	tota vīta nihil aliud quam ad mortem iter est	all life is nothing other than a journey toward death
iterum	illae fābulae dignae sunt quae iterum legantur	those stories are worth reading repeatedly
iubeo	alter cōnsul cum boiis jussus est bellum gerere, alter ut rōmam rediret	one consul was ordered to wage war against the Boii, the other that he return to Rome
iucundus	iucundum, mea vītā, mihi proponis amōrem	my life, you imagine that our love will be bliss
iudex	sanctissimus ac iustissimus iudex	a most holy and most just judge
indico	quam cīvitātī cārus fuerit, maerōre funeris indicatum est	how dear he was to the state was shown by the grief at his funeral
iudicium	milo in jūdicium vocatus est	Milo was summoned before the court
iudicium	aliōrum jūdicia contemnit	he attaches no value to the judgements of others
iugum	ā cervīcibus iugum servīle deiecerant	they cast off the yoke of slavery
iungo	Rōmānī ponte ticinum jungunt	the Romans span the Ticinus River with a bridge
iungo	foedus cum eō amicitiamque jūnxit	he joined him in a treaty and in friendship
ius	quaero jūre an injūria factum sit	I ask whether it was done justly or unjustly
iusiurandum	iureiurando tenēbantur	they were held by their oath 
iustus	sanctissimus ac iustissimus iudex	a most holy and most just judge
iuvo	fortēs fortūna juvat	fortune favors the brave
iuvat me	haec ōlim meminisse iuvabit	it will be pleasing to remember these things one day
iuventus	juventūs plēraque catilīnae inceptīs favēbat	a large part of the youth favored Catiline’s undertakings
iuxta	sepultus est juxtā viam appiam	he was buried near the Appian Way
iuxta	mē juxtā ac sī frāter meus esset sustinuit	he supported me as if he were my brother
labor	ēheu fugaces labuntur annī	alas, the fleeting years slip away
labor	lābentem rem pūblicam sustulit	he raised up the slipping republic
labor	labōre et patientiā bellum confecit	he completed the war with hard work and patience
labor	iliacos audīre labōrēs exposcit	he entreated them to listen to the toils of the Trojans
laboro	brevis esse laboro	I try to be brief
laboro	humilēs laborant ubi potentēs dissident	when those in power disagree, the lowly suffer
lacero	vitulōs leaenae lacerant	the lionesses mutilate the calves
lacesso	proeliō lacessītus	having been provoked to battle
laedo	laesus ab ingeniō naso poēta suō	the poet Naso was wounded by his own genius
laetus	cōnsulis ōrātiō haud sānē laeta fuit	the speech of the consul was not at all cheerful
laetus	laeta tiberio germanici mors erat	the death of Germanicus was joyful to Tiberius
laetus	arva laeta	fertile land
laevus	ex altō laeva volavit avīs	the bird flew from the left side of the heavens
languidus	nox languida solverat armōrum cūrās	the dull night had removed the worries of arms
largus	sōl terrās largā lūce complēvit	the sun fills up the lands with abundant light
lateo	latet anguis in herbā	a snake lurks in the grass
latus	equitēs ad latera disposuit	he arranged the cavalry at the sides
latus	latus pontus	the broad sea
laudo	omnēs mortālēs sē laudārī optant	all mortals wish to be praised
laus	summīs laudibus eum extulērunt	they exalted him with the highest praise
legatio	vāna atque irrita legatio fuit	the embassy was fruitless and ineffectual
legatus	aliae sunt lēgātī partēs atque imperātōris	the duties of a legate are distinct from those of a general 
legatus	lēgātōs in cūriam introduxit	he led the ambassadors into the Senate-house
lego	māter ossa in sīnum lēgit	the mother collected the bones into her lap
lego	prīncipēs albanorum in patrēs lēgit	he elected chiefs of the Albans to the Senate
lego	illae fābulae dignae sunt quae iterum legantur	those stories are worth reading repeatedly
legio	in legiōne sunt centuriae sexāgintā, manipuli trīgintā, cohortes decem	in a legion there are sixty centuries, thirty maniples, ten cohorts
lentus	ut sit magna, tamen certē lenta īra deōrum est	although it is great, nevertheless the anger of the gods is certainly slow
lepos	tuō lepore incēnsus	inflamed by your charm
letum	liberi eōrum lētō dati sunt in bellō	their children met their death in the war
levis	sit tibi terrā lēvis	may the earth be light on you
levis	levī causā atrōx caedēs orta est	a savage slaughter arose over a trifling cause
levis	levia pocula	smooth cups
levo	ales lēvāvit sē alīs	the bird lifted itself with its wings
levo	multa fidem promissa levant	many promises weaken faith
lex	lēge lata eōs exsules fēcit	by proposing the law, he made them exiles
lex	quis nescit prīmam esse historiae lēgem nē quid falsī dīcere audeat	who does not know that it is the first law of history that it dare not say anything false
lex	redeat, sed ea lēge nē umquam rōmam revertatur	let him return, but on condition that he never come back to Rome
libo	trīstia dōna cinerī hectoris libant	they offer sad gifts to the ashes of Hector
libenter	hominēs ferme libenter id quod volunt credunt	for the most part people gladly believe what they want
liber	homeri libros anteā confusos disposuit	he arranged the books of Homer, which were previously jumbled
liber	omnī metū liberi locuti sumus	free from all fear, we spoke
libero	populum metū liberavit	he freed the people from fear
liberi	omnēs līberōs interficī jussit	he ordered that all the children be killed
libertus	Cicerōnis lībertus Tiro est	Tiro is a freedman of Cicero
libet	ego ibo prō tē, sī tibi nōn libet	I will go for you, if you are not permitted
lib	māla libīdō lucretiae per vim stuprandae tarquinium cēpit	an evil desire to defile Lucretia through violence seized Tarquinius
libido	instruitur aciēs ad libīdinem mīlitum	the battleline is drawn up arbitrarily by the soldiers
licentia	ex hāc nimia licentia exsistit tyrannus	a tyrant arises from this excessive freedom
licet	licet nēminī contrā patriam dūcere exercitum	no one is allowed to lead an army against his homeland
licet	subitam commutationem fortūnae vidēre licuit	it was possible to see the sudden change of fortune
licet	vīta brevis est, licet suprā annōs mīlle exeat	life is short, even if it exceeds a thousand years
lignum	in silvam ligna ferre	to carry wood into the forest ( = carry coals to Newcastle, preaching to the choir)
lingua	hī omnēs linguā inter sē diffērunt	they all differ from each other in language
linquo	nīl inausum linquamus	let us leave nothing untried
liquidus	haec super imposuit liquidum aethera	above these things he placed the clear sky
lis	adhūc sub jūdice lis est	the jury’s still out
littera	litterās ad aliquem compōnere	to compose a letter to someone
littera	sit mihi orator tinctus litterīs	let me have an orator well furnished with letters
littera	doctus est et graecīs litterīs et latīnīs	he is versed in Greek and Latin literature
litus	sē dēsertō in lītore condunt	they hide on a deserted beach
loco	prīmōs et extrēmōs locaverat tribunos	he had placed tribunes in the front and rear
locus	honesto locō nātus est	born of a noble family
locus	missī sunt nūntiī quō locō rēs essent	messages were sent telling in which place the things were
locus	nunc defendendi negandive est locus	now there is a place for defending and denying
longe	longē mihi obviam processērunt	they came a long way to meet me
longe	graecorum longē doctissimus est	he is the most learned by far of the Greeks
longus	hōrae quibus exspectabam longae vidēbantur	the hours in which I was waiting seemed long
longus	nāvēs longās aedificandas curavit	he had war ships built
loquor	nīl nisi classes et exercitūs locuti sunt	they spoke of nothing except fleets and armies
luctus	ita variē laetitia, maeror, lūctus atque gaudia agitābantur	and so they were considering happiness, grief, sorrow and joy in turn
lucus	ennium sīcut sacrōs vetustate lūcōs adoremus	let us adore Ennius just like groves sacred from age
ludo	illō tempore otiosi carmina lusimus	we sang songs in that leisurely time
lugeo	mortem trebonii populus lugebat	the people were mourning the death of Trebonius
lumen	lūmine quarto prospexi Italiam	on the fourth day I caught sight of Italy
lumen	lūmina defixa in solō tenebant	the stars unfastened from the sky clung to the ground
lupus	inter audācēs lupus errat agnōs	a wolf wanders among reckless lambs
lustro	sōl omnia flammīs lustrabat	the sun was illuminating everything with its flames
lustro	exercitum apud brundisium lustrabat	he was reviewing the army at Brundisium
lustro	aegyptum lustrabat germanicus	Germanicus traversed Egypt
lux	prīma lūce in hostēs currēbant	at dawn they ran against the enemy
luxuria	luxuriā atque avāritiā respublica perit	the republic died of extravagance and greed
lympha	vulnera lymphis abluebant	they were washing their wounds with clear spring water
maereo	amīcī tuō dolōre maerent	friends mourn at your suffering
maestus	sē domī maestus cohibebat	since he was sad, he stayed at home
magis	quō magis haec cogito, eō maestior sum	the more I ponder these things, the sadder I am
